date,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2024-05-14,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-15,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-16,1207.05,90.9,92.38,52.01,10.98,15.67
2024-05-17,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-18,715.86,60.8,56.1,25.75,8.85,16.03
2024-05-20,1471.64,103.01,74.37,82.56,9.94,31.84
2024-05-21,2069.42,153.03,160.38,87.79,9.72,26.29
2024-05-22,1533.46,104.07,109.03,72.18,16.33,23.71
2024-05-23,789.99,64.94,57.89,31.32,8.96,17.58
2024-05-24,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-25,830.74,67.21,58.87,34.38,9.02,18.43
2024-05-27,1706.07,132.74,151.59,60.47,9.2,18.69
2024-05-28,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-29,1412.5,125.37,123.65,44.33,12.59,22.82
2024-05-30,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-31,1706.07,132.74,151.59,60.47,9.2,18.69
2024-06-01,1430.86,118.58,145.22,38.07,10.46,54.63
2024-06-02,1025.74,85.1,94.06,31.85,10.79,19.75
2024-06-03,1734.25,125.25,126.2,78.38,8.74,19.79
2024-06-04,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-05,1706.07,132.74,151.59,60.47,9.2,18.69
2024-06-06,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-07,1426.55,107.81,103.59,62.45,10.11,17.59
2024-06-09,782.71,71.63,66.51,23.29,9.34,15.1
2024-06-10,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-11,1274.9,112.84,108.4,39.7,17.48,28.78
2024-06-12,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-13,1634.38,155.51,131.26,48.96,11.86,29.69
2024-06-14,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-15,589.0,53.42,55.17,13.94,9.12,36.99
2024-06-16,744.93,69.73,54.97,25.53,8.74,14.51
2024-06-17,1752.31,149.61,108.65,76.6,9.24,16.08
2024-06-18,805.87,77.28,55.4,28.75,8.74,14.58
2024-06-19,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-20,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-21,1477.25,107.85,94.63,71.49,11.65,18.65
2024-06-22,680.82,84.31,4.85,35.96,0.0,0.75
2024-06-23,788.0,69.17,19.96,47.0,2.31,10.74
2024-06-24,813.65,59.3,65.02,32.74,10.28,21.16
2024-06-25,1045.4,63.09,79.25,49.69,12.3,30.07
2024-06-26,1349.86,119.55,128.59,38.86,10.57,18.54
2024-06-27,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-28,1734.25,125.25,126.2,78.38,8.74,19.79
2024-06-29,1791.27,136.19,178.11,54.8,22.66,19.68
2024-06-30,1116.0,70.35,119.45,36.01,19.38,8.04
2024-07-01,332.76,18.34,32.15,12.87,9.21,4.18
2024-07-04,199.78,11.01,19.3,7.73,5.53,2.51
2024-07-05,524.91,33.74,19.53,33.64,2.54,11.44
2024-07-06,92.39,11.44,0.66,4.88,0.0,0.1
2024-07-07,418.76,51.24,3.3,22.25,0.01,0.61
2024-07-08,551.76,54.03,8.0,33.54,0.06,1.18
2024-07-09,467.16,25.45,19.72,30.81,2.57,11.63
2024-07-12,775.05,68.95,69.45,24.48,3.85,8.43
2024-07-13,534.4,38.53,9.21,36.22,0.55,1.92
2024-07-14,837.23,91.65,35.82,33.85,14.24,31.36
2024-07-15,668.85,70.75,38.69,22.77,16.64,35.97
2024-07-17,637.45,56.42,54.2,19.85,8.74,14.39
2024-07-18,637.45,56.42,54.2,19.85,8.74,14.39
2024-07-19,637.45,56.42,54.2,19.85,8.74,14.39
2024-07-26,425.66,49.98,4.49,23.04,0.07,1.1
2024-07-27,259.63,30.48,2.74,14.05,0.04,0.67
2024-07-31,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-01,1209.72,81.47,76.48,64.8,6.51,23.45
2024-08-02,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-03,698.05,67.36,70.01,17.13,6.39,19.66
2024-08-04,637.45,56.42,54.2,19.85,8.74,14.39
