date,meal,type,name,brand,amount_g,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,kcal_per_g,protein_per_g,carbs_per_g,fat_per_g,fiber_per_g
2024-03-18,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-18,Mittagessen,recipe,Ghackets mit Härdöpfelstock,,0.0,882.05,59.21,5.96,68.56,1.93,5.05,0,0,0,0,0
2024-03-19,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-20,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-21,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-22,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-23,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-23,Mittagessen,recipe,Salatsauce neu ,,0.0,564.51,31.53,13.65,42.44,0.81,11.81,0,0,0,0,0
2024-03-24,Fruehstueck,recipe,Salatsauce neu ,,0.0,570.71,31.87,13.8,42.91,0.82,11.94,0,0,0,0,0
2024-03-24,Mittagessen,recipe,Poulet mit Spinat,,0.0,375.53,43.61,8.86,17.35,0.01,1.5,0,0,0,0,0
2024-03-24,Abendessen,recipe,Poulet mit Spinat,,0.0,62.51,7.26,1.47,2.89,0.0,0.25,0,0,0,0,0
2024-03-25,Mittagessen,recipe,Poulet Gehacktes mit Linsennudeln,,0.0,623.07,55.12,57.1,17.39,7.9,6.94,0,0,0,0,0
2024-03-26,Mittagessen,recipe,Poulet mit Spinat,,0.0,375.53,43.61,8.86,17.35,0.01,1.5,0,0,0,0,0
2024-03-27,Mittagessen,recipe,Nudeln mit Pouletbrust ,,0.0,1510.8,129.66,138.22,45.69,9.18,4.51,0,0,0,0,0
2024-03-28,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-28,Mittagessen,recipe,Poulet mit Spinat,,0.0,375.53,43.61,8.86,17.35,0.01,1.5,0,0,0,0,0
2024-03-28,Abendessen,recipe,Salatsauce ohne Öl & Mayo,,0.0,49.92,3.65,2.12,2.89,0.07,1.9,0,0,0,0,0
2024-03-28,Abendessen,recipe,Salatsauce ohne Öl & Mayo,,0.0,125.79,9.19,5.35,7.28,0.18,4.78,0,0,0,0,0
2024-03-29,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-29,Mittagessen,recipe,Salatsauce ohne Öl & Mayo,,0.0,89.88,6.57,3.82,5.2,0.13,3.42,0,0,0,0,0
2024-03-29,Abendessen,recipe,Salatsauce ohne Öl & Mayo,,0.0,134.79,9.85,5.74,7.8,0.19,5.13,0,0,0,0,0
2024-03-30,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-03-31,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-01,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-01,Mittagessen,recipe,Salatsauce nur Magerquark ,,0.0,50.85,6.3,4.42,1.02,0.18,3.98,0,0,0,0,0
