yazio_id,name,brand,category,barcode_off,off_name_match,has_ean_yazio,kcal_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sugar_per_100g
7a75f4a5-6285-40f6-949f-4d008b2d5c0a,Dürüm ,Pona,bread,,,True,345.0,9.7,55.1,8.8,0.0,2.9
7a982b2e-72c5-40bf-97ab-38ade3274acf,Nussgipfel ,Bäcker,bakedgoods,,,False,442.0,7.0,47.0,25.0,0.0,0.0
7aa8a4d6-9a5d-4197-89b0-afcfeff0013a,2-Minuten Polenta (zubereitet),Davert,cerealproducts,,,True,87.5,2.2,18.5,0.25,1.25,0.38
7ae8cf33-9795-48eb-af3a-41d0adc8bbe1,grand padano,Lidl,cheese,2287659005558,Grand Padano D.O.P fromage dur à pâte cuite,True,398.0,33.0,0.0,29.0,0.0,0.0
7aef1717-f8a4-4f23-acec-d643d805d33e,M Classic Creamy Erdnussbutter,Migros,spreads,7613312468227,Creamy Erdnussbutter,True,608.0,24.0,16.0,48.0,8.0,10.0
7b035695-b868-4b08-b23d-1482a843d441,Crunchy Müsli,Happy Harvest,cerealproducts,,,True,433.0,12.0,60.0,14.0,0.0,0.0
7b4444fc-84a5-4376-aff1-5d1d1d11d510,Focus water,Rivella Ag Rothrist,drinksnonalcoholic,,,True,17.0,0.0,4.0,0.0,0.0,4.0
7b730e7c-aacf-4d00-ad5a-4de5221720b0,Dinkelnudeln ,Edeka,noodles,,,True,359.0,12.0,73.0,1.4,3.3,3.4
7bf48a53-3154-44fb-abfb-d232428108ec,Mozzarella,Mbudget,milk,,,True,244.0,19.0,1.5,18.0,0.0,1.5
7c28019c-40f8-43e4-8d72-ac103f7d7276,Ceaser 1/2 fat,Renees,sauces,,,True,325.58,2.33,2.33,32.56,0.0,0.0
7c31507f-ae50-451c-a858-becd11012923,Vegane Mühlen Ceispies Western Style,Rügenwalder Mühle,soyproducts,,,True,231.0,12.0,20.0,10.0,6.5,1.3
7c97591d-9f54-46b7-b908-62db51f9a421,Sushi Manami,Lidl,fish,,,True,146.0,4.8,22.0,3.8,0.0,5.3
7cd68bd2-09b7-49d9-b545-95fb3bbf5536,Hänchen Nuggets Cornflakes,Chef Select (Lidl),poultry,,,True,140.0,15.3,16.7,1.1,0.8,0.8
7ce06c8b-229b-4c73-98d9-b7bf622d81d1,Weisswurst,Migros,meat,,,True,246.0,14.0,1.0,24.0,0.0,0.5
7cf26823-3e0e-45c6-88a0-1d8e3c1ccc5f,Salznuesse,Snack Fun (Aldi),legumes,,,True,619.0,24.0,11.0,51.0,0.0,5.2
7cfb2ec1-f3d6-492a-8450-284f86b7f976,HighProtein Vanilla Taste DRINK,Coop Qualité&Prix,milk,,,True,56.0,8.0,2.8,1.4,0.0,2.8
7d621424-a556-495b-a04f-5aab8a39f170,The Ceasar Salad Crispy Chicken ,McDonald's,dishes,,,False,108.0,7.0,8.0,5.0,1.0,2.0
7d7fd64f-4ce7-4ab2-b6a8-c4abd047ce1e,Appenzeller Switzerland mild,Hardeggee,cheese,,,True,389.0,25.0,0.1,32.0,0.0,0.1
7d986048-1c98-4412-baf6-6771dabd0006,Schoko-Bons,Kinder Schokolade,candy,8000500005163,Friends,True,576.0,8.3,52.5,36.6,0.0,52.2
7da9f6ad-89f5-4562-a86e-215f9265073b,Kalbs Plätzli,Migros Terrasuisse,beef,,,True,107.0,21.0,1.0,2.5,0.5,1.0
7db15f7e-97f5-4ff1-85cf-602463ed5172,High Protein Vanilla Berry Crunchy,Milsani (Aldi),milk,,,True,96.0,11.6,5.8,2.1,0.0,3.1
7dc4db3e-3dbe-4fc1-98aa-5f33b28264cf,Pure kornkraft,Grafschafter (Lidl),bread,,,True,286.0,11.0,20.0,16.0,8.9,0.9
7dc9c5be-e933-4e7c-ba6c-7d428239b338,Röstkartoffeln,Holstensegen,potatoproducts,,,False,176.0,2.8,21.6,8.1,0.0,0.0
7e253a09-26d1-48dd-bb0d-525ed56dfe77,High Protein Drink Himbeere,Migros Oh!,milk,14882119,Oh high protein drink himbeere,True,50.0,7.2,5.1,0.5,0.5,4.9
7e9c11a0-bf9b-4f98-b745-94613164537f,Yogurt alla greca pesca maracuja,Milbona (Lidl),yogurt,,,True,133.0,3.9,13.2,8.2,0.0,12.6
7ee44e9c-8491-4b97-9577-b68bef9d90b2,Hefezopf , Selbstgemacht,bakedgoods,,,False,311.0,7.8,44.9,9.0,0.0,1.0
7ee4e165-8128-4387-a8d2-334d306bf1b8,Baguette poulet tartare,Coop,hamburger,0581733006953,Baguette Poulet Tartare,True,214.0,13.0,25.0,6.3,1.8,0.0
7ef68b2d-92a4-4a51-9782-5389acbd438c,Original,Minor,chocolate,,,True,574.0,9.0,45.0,39.0,0.0,44.0
7f3be61e-aeb0-435a-95f8-2338b70dbba5,Tortelloni Formagio,Hofer Good Choice,noodles,,,True,200.0,9.1,28.2,5.2,2.2,1.5
7f620632-86db-4037-b11f-97b9b3fe8e3d,Ovomaltine crunchy cream,Wander,chocolate,7612100907603,Crunchy cream,True,547.0,3.7,59.4,32.4,1.6,50.1
7fd6c75a-dcd6-44d8-b45e-a982cd67211f,Dinkelroggenbrot ,Bio,cerealproducts,,,False,190.0,4.4,37.0,0.9,5.0,2.4
801cf14a-4b5f-4e54-8031-8b0670cc151a,Total Protein Cinni Crunchy Shake,More Nutrition,dietdrinks,,,True,160.0,18.0,4.7,7.1,1.3,2.6
80a1deed-22fa-41f9-b06e-6e3c48fba43f,Gekookte en gepelde garnalenlook,Albert Heijn,seafood,,,False,130.0,18.0,0.0,6.5,0.0,0.0
80c39c51-7342-4009-acca-60f37c54d58c,Kägi Chiefs Protein Waffer,Kägi Söhne AG,chocolate,,,True,479.0,25.0,36.0,28.0,0.0,5.8
80edb11b-c9c5-4cc8-b261-b3b18da14719,Coop Country Cheese,Coop,bakedgoods,7627536113306,country cheese crackers,True,439.0,17.0,56.0,15.0,6.1,1.4
81296805-4efb-4b78-832b-bd8eea58260f,Shokata,Fanta,softdrinks,5449000314789,Fanta Zero Sugar Shokata,True,18.0,0.0,4.3,0.0,0.0,4.3
813f25f2-3c32-451b-99d8-6c9cc2c1f4b6,Satay Chicken Noodles,Felfel,pasta,,,False,186.0,9.5,14.0,9.7,0.0,0.0
8155cdd6-2d9a-4d5d-8d32-996a91a972ed,Bio tea freddo al limone ,Galvanina,tea,,,True,33.0,0.0,8.3,0.0,0.0,0.0
81dbe4b0-ef33-4d33-ad5d-7541544f8e44,Formaggio grattugiato,Granello,cheese,,,True,342.0,31.0,0.5,24.0,0.0,0.5
8221744f-30c4-4ed1-ab85-6abd5474e1ac,High Protein Milk Nature,Oh,milk,7613404013885,High protein Milk Nature,True,50.0,7.3,5.0,0.5,0.0,5.0
82806839-8843-490c-9d5f-2877f155fda3,Döner Style Warp ,Chef Select (Lidl),dishes,,,True,236.0,8.1,28.0,9.8,1.7,3.0
82a550ee-e3f6-4d6f-9b2c-87d9adcb195d,Schweinsnierstück,Aldi,meat,,,True,154.0,22.2,0.0,7.2,0.0,0.0
82cd5060-85ab-4330-9e24-bbc576bab06d,Saure Glühwürmchen,Trolli,fruitgum,,,True,333.0,4.3,77.0,0.0,0.0,49.0
82eb8b8c-b21d-405b-83bb-08c27f383917,Rinds-Saftplätzli,Aldi,beef,,,False,101.0,22.0,1.0,1.0,0.0,0.0
82ebaf7c-92ac-459a-a6f1-8d76f3f71be2,Vitamin Focus Water Reload ,Rivella,drinksalcoholic,,,True,17.0,0.0,4.0,0.0,0.0,4.0
8322d59f-8fc3-4d9e-92af-d957ac436b2f,Schübling,Tann,sausage,,,True,238.0,10.1,1.3,20.6,0.0,1.0
832dd590-940f-46c4-86d8-69d9d437d491,Milch,Coop Qualité & Prix,milk,,,True,64.0,3.2,4.9,3.5,0.0,4.9
8352146d-098e-4ceb-9a00-7388cb1e23ac,More Clear Glow Peptides Rhabarber-Vanille,More Nutrition,drinksnonalcoholic,4260644049629,More Clear Glow Peptides Rhabarber-Vanille,True,352.0,82.0,3.9,0.0,0.0,0.0
838c5f30-8fbf-4d18-88be-1a40f6cb08ab,Giovanni's Tomato Gnocchi,Felfel,noodles,,,False,132.0,3.7,24.0,1.7,0.0,3.2
83bf527a-adbd-4e42-99ce-1f0894f2744b,Grapefruit,Brauerei Schützengarten,drinksnonalcoholic,,,True,40.0,0.3,8.4,0.5,0.3,7.8
83bff1de-0d70-4d7d-9d5b-06f05858028a,Grana Padano Da Emilio,Migros,cheese,7610200041050,Grana Padano Gerieben,True,398.0,33.0,0.1,29.0,0.0,0.1
83ebc5a6-e581-4f20-a3b9-de35c1210ff5,Kambly Zitronenblatt,Kambly,candy,,,True,493.0,7.2,63.0,23.0,2.3,26.0
845e4960-309a-4e39-8fd0-cd3728674c83,Poulet dürüm,neudorf kebab.,fastfood,,,False,175.0,11.0,18.0,7.0,0.0,0.0
84ba832b-eb4c-4933-92da-f07674f6d3c1,Chipeño Smoky Chipotle Sauce,Chipeño GmbH,sauces,,,True,458.0,1.9,11.0,45.0,0.0,8.4
850370b6-26d7-4c3a-9bae-4e32798ad6f2,Forever ultra chocolate shake,Forever Living,dietdrinks,,,False,378.0,48.0,24.0,10.0,8.9,10.0
85dcf047-be3b-4963-88a9-6ca547f609ea,Kalbsbraten,,beef,,,False,125.0,19.0,0.0,3.5,0.0,0.0
86522a56-6f26-4aa2-b04b-f073a77c2130,Blanc de poulet,Saint Alby,poultry,,,True,105.0,20.0,0.9,2.4,0.0,0.9
86a984ce-9265-4a27-a813-e7c6c26aa496,Hülsenfrüchte ERBSEN,"Golden Sun, Bio Organic",legumes,,,True,329.0,22.6,47.6,2.1,13.2,5.3
86c35d2b-0f55-4277-91c2-4cb946aa2905,Emincé de Dinde - Trutengeschnetzeltes,Felfel,dishes,,,False,143.0,7.0,15.0,6.0,0.0,2.5
87326771-b86f-472c-b129-2cd4cc3db349,DESIGNER BAR Almond Coconut,ESN,nutritionalsupplements,4250519646510,Designer Bar • Almond Coconut,True,393.33,31.11,31.11,19.56,3.56,4.67
873c2b07-fc34-46c1-9cd1-3af65eebfc83,Energy milk high protein,Emmi,milkshakes,,,True,59.0,8.0,5.0,1.0,0.0,4.9
879b4bb8-77c2-4e66-a931-95f92305b8b4,Thunfisch in Sonnenblumenöl,Nixe (Lidl),cannedfish,,,True,172.0,24.2,0.0,8.4,0.0,0.0
87be6171-ba49-4eda-bca4-e2d05dbe7bb7,Kroketten,McCain,frozenfood,,,True,181.0,3.0,28.5,9.0,3.0,5.0
87ccbf52-f1b3-49a4-be76-9d8af037b91c,Darvida Sandwich Tomaten &  Basilikum,Hug,hamburger,,,False,479.0,10.0,56.0,23.0,5.0,4.0
88c9dc93-40e9-4dde-8932-22b7e9b1b84a,Salat mit Karotten und Mais,Real,salad,,,True,30.0,1.2,5.2,0.3,0.0,2.8
88e5a408-a312-4fd6-8966-67bf6689fa21,Blätterteig Pastetli,Migros M Classic,bakedgoods,,,True,540.0,8.6,42.0,37.0,2.3,1.1
88eaed7e-6f04-40a6-aed4-d924bfa8c671,Grüner Salat,,salad,3250391085415,Endives au naturel 4/4,False,12.0,1.3,1.1,0.2,1.4,1.0
890500f2-81ec-4cc0-99bb-0adda4ea2d77,Milch   Teilentrahmt Drink,Milbona (Lidl),milk,,,True,47.0,3.5,4.9,1.5,0.0,4.9
898e6985-9340-422a-bdc1-63b812727ec4,Hackfleisch Soße LQ,Selbst Gekocht,beef,,,False,90.41,8.14,2.45,5.26,0.0,0.0
89add445-7657-4195-bf29-bce464435bda,Chicken Nuggets mit Pommes,Gut Und Günstig,precooked,,,True,228.0,7.2,25.1,10.7,0.0,0.0
8a0ee120-dfd3-47cb-a1a4-ebeda0024c03,Le Maréchal,Ip- Suisse,hardcheese,,,True,395.0,25.0,0.5,33.0,0.0,0.0
