date,meal,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2024-05-18,Mittagessen,78.41,4.38,1.9,5.9,0.11,1.64
2024-05-20,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-20,Mittagessen,834.19,46.59,20.17,62.71,1.2,17.45
2024-05-21,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-21,Mittagessen,1068.62,76.32,97.39,40.62,0.46,4.3
2024-05-21,Snack,363.35,20.29,8.79,27.32,0.52,7.6
2024-05-22,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-22,Mittagessen,896.01,47.65,54.83,52.33,7.59,9.32
2024-05-23,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-23,Mittagessen,152.54,8.52,3.69,11.47,0.22,3.19
2024-05-24,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-25,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-25,Mittagessen,193.29,10.79,4.67,14.53,0.28,4.04
2024-05-27,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-27,Mittagessen,1068.62,76.32,97.39,40.62,0.46,4.3
2024-05-28,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-29,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-29,Mittagessen,775.05,68.95,69.45,24.48,3.85,8.43
2024-05-30,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-31,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-05-31,Mittagessen,1068.62,76.32,97.39,40.62,0.46,4.3
2024-06-01,Abendessen,421.68,44.03,41.62,6.88,5.13,40.7
2024-06-01,Mittagessen,1009.18,74.55,103.6,31.19,5.33,13.93
2024-06-02,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-02,Mittagessen,388.29,28.68,39.86,12.0,2.05,5.36
2024-06-03,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-03,Mittagessen,1096.8,68.83,72.0,58.53,0.0,5.4
2024-06-04,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-05,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-05,Mittagessen,1068.62,76.32,97.39,40.62,0.46,4.3
2024-06-06,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-07,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-07,Mittagessen,789.1,51.39,49.39,42.6,1.37,3.2
2024-06-09,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-09,Mittagessen,145.26,15.21,12.31,3.44,0.6,0.71
2024-06-10,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-11,Fruehstueck,1274.9,112.84,108.4,39.7,17.48,28.78
2024-06-12,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-13,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-13,Mittagessen,996.93,99.09,77.06,29.11,3.12,15.3
2024-06-14,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-15,Abendessen,589.0,53.42,55.17,13.94,9.12,36.99
2024-06-16,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-16,Mittagessen,107.48,13.31,0.77,5.68,0.0,0.12
2024-06-17,Fruehstueck,798.67,76.38,55.35,28.37,8.74,14.57
2024-06-17,Mittagessen,673.0,38.48,51.3,33.4,0.5,1.2
2024-06-17,Snack,280.64,34.75,2.0,14.83,0.0,0.31
2024-06-18,Fruehstueck,805.87,77.28,55.4,28.75,8.74,14.58
2024-06-19,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-20,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-21,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-21,Mittagessen,839.8,51.43,40.43,51.64,2.91,4.26
2024-06-22,Fruehstueck,495.98,61.42,3.53,26.2,0.0,0.55
2024-06-22,Mittagessen,184.84,22.89,1.32,9.76,0.0,0.2
2024-06-23,Fruehstueck,523.7,64.85,3.73,27.67,0.0,0.58
2024-06-23,Mittagessen,264.3,4.32,16.23,19.33,2.31,10.16
2024-06-24,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-24,Mittagessen,176.2,2.88,10.82,12.89,1.54,6.77
2024-06-25,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-25,Abendessen,117.14,1.92,7.19,8.57,1.02,4.5
2024-06-25,Mittagessen,290.81,4.75,17.86,21.27,2.54,11.18
2024-06-26,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-26,Mittagessen,712.41,63.13,74.39,19.01,1.83,4.15
2024-06-27,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-06-28,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
